iter	Passed	Remaining
740	1122	392
741	1122	390
742	1123	388
743	1124	386
744	1126	385
745	1127	383
746	1128	382
747	1129	380
748	1130	378
749	1131	377
750	1132	375
751	1133	373
752	1134	372
753	1135	370
754	1136	368
755	1137	366
756	1137	365
757	1138	363
758	1140	362
759	1141	360
760	1142	358
761	1143	357
762	1144	355
763	1145	353
764	1146	352
765	1147	350
766	1148	348
767	1149	347
768	1150	345
769	1151	343
770	1152	342
771	1153	340
772	1154	338
773	1156	337
774	1157	335
775	1158	334
776	1159	332
777	1159	330
778	1160	329
779	1161	327
780	1162	326
781	1163	324
782	1164	322
783	1165	321
784	1166	319
785	1167	317
786	1168	316
787	1169	314
788	1170	313
789	1171	311
790	1172	309
791	1173	308
792	1174	306
793	1175	305
794	1176	303
795	1177	301
796	1178	300
797	1179	298
798	1180	296
799	1181	295
800	1182	293
801	1183	292
802	1185	290
803	1186	289
804	1187	287
805	1188	285
806	1189	284
807	1190	282
808	1190	281
809	1191	279
810	1192	277
811	1193	276
812	1194	274
813	1195	273
814	1196	271
815	1197	270
816	1199	268
817	1200	267
818	1201	265
819	1202	263
820	1203	262
821	1204	260
822	1206	259
823	1207	257
824	1207	256
825	1208	254
826	1209	253
827	1210	251
828	1211	249
829	1212	248
830	1214	247
831	1215	245
832	1216	243
833	1217	242
834	1218	240
835	1219	239
836	1220	237
837	1221	236
838	1222	234
839	1223	233
840	1224	231
841	1225	229
842	1226	228
843	1229	227
844	1230	225
845	1231	224
846	1232	222
847	1233	221
848	1234	219
849	1235	218
850	1236	216
851	1237	214
852	1238	213
853	1239	211
854	1240	210
855	1241	208
856	1242	207
857	1244	205
858	1245	204
859	1246	202
860	1247	201
861	1247	199
862	1248	198
863	1249	196
864	1250	195
865	1251	193
866	1252	192
867	1253	190
868	1254	189
869	1255	187
870	1256	186
871	1257	184
872	1259	183
873	1260	181
874	1261	180
875	1262	178
876	1263	177
877	1264	175
878	1264	174
879	1265	172
880	1266	171
881	1267	169
882	1268	168
883	1269	166
884	1270	165
885	1271	163
886	1272	162
887	1274	160
888	1275	159
889	1275	157
890	1276	156
891	1277	154
892	1278	153
893	1279	151
894	1280	150
895	1281	148
896	1282	147
897	1283	145
898	1284	144
899	1285	142
900	1286	141
901	1288	139
902	1289	138
903	1290	137
904	1291	135
905	1292	134
906	1293	132
907	1294	131
908	1295	129
909	1296	128
910	1297	126
911	1298	125
912	1299	123
913	1300	122
914	1301	120
915	1303	119
916	1304	118
917	1305	116
918	1305	115
919	1306	113
920	1307	112
921	1308	110
922	1309	109
923	1310	107
924	1311	106
925	1312	104
926	1313	103
927	1314	101
928	1315	100
929	1316	99
930	1318	97
931	1319	96
932	1320	94
933	1321	93
934	1322	91
935	1323	90
936	1324	89
937	1325	87
938	1326	86
939	1327	84
940	1328	83
941	1329	81
942	1331	80
943	1332	79
944	1333	77
945	1334	76
946	1335	74
947	1336	73
948	1337	71
949	1338	70
950	1339	68
951	1339	67
952	1340	66
953	1341	64
954	1342	63
955	1343	61
956	1344	60
957	1346	59
958	1347	57
959	1348	56
960	1349	54
961	1350	53
962	1351	51
963	1351	50
964	1352	49
965	1353	47
966	1354	46
967	1355	44
968	1356	43
969	1357	41
970	1358	40
971	1360	39
